0,1,1.5,0.58496,0
1,1,2,1,1
0,1,4,2,0
-2,1,2,1,-1
1,1,1.5,0.58496,1
1,1,3,1.585,1
1,1,3,1.585,1
2,1,16,4,1
1,1,2,1,1
1,1,3,1.585,1
1,1,2,1,1
1,1,2,1,1
1,1,2,1,1
-1,1,4,2,-1
0,1,1.5,0.58496,0
0,1,1.5,0.58496,0
0,1,2,1,0
1,1,1.5,0.58496,1
0,0,1,0,0
0,0,1,0,0
-1,0,1,0,-1
0,0,1,0,0
0,0,1,0,0
1,0,1,0,1
0,0,1,0,0
0,0,1,0,0
0,0,1,0,0
-1,0,1,0,-1
1,0,1,0,1
-1,0,1,0,-1
1,0,1,0,1
-1,0,1,0,-1
-1,0,1,0,-1
0,0,1,0,0
2,0,1,0,1
0,-1,0.75,-0.41504,0
0,-1,0.75,-0.41504,0
0,-1,0.75,-0.41504,0
0,-1,0.5,-1,0
0,-1,0.5,-1,0
