AAA43187,115.62,21.79,137.41
AAP23238,120.1,23.93,144.03
AAT08000,123.53,20.72,144.25
AAT64728,116.93,25.02,141.95
AAX11585,121.21,24.25,145.45
AAX11595,123.4,23.97,147.37
AAX11625,117.96,24.41,142.37
AAX11635,120.27,24.41,144.68
AAX12741,123.26,24.27,147.53
AAX12761,120.27,24.41,144.68
AAX12781,117.75,24.41,142.16
AAX12791,117.48,24.41,141.89
AAX12801,120.05,24.41,144.46
AAX34061,122.96,24.27,147.22
AAX35821,123.1,24.25,147.35
AAX35861,117.96,24.41,142.37
AAX35871,116.83,25.91,142.75
AAX38237,120.47,24.41,144.88
AAX47515,120.34,24.41,144.75
AAX47525,120.34,24.73,145.07
AAX56400,121.48,23.98,145.46
AAX56420,123.26,24.27,147.53
AAX56430,121.35,24.27,145.61
AAX56440,117.96,24.39,142.35
AAX56460,120.6,24.41,145.01
AAX56470,120.26,24.41,144.67
AAX56490,117.96,24.41,142.37
AAX56510,118.47,24.41,142.88
AAX56560,123.16,24.27,147.42
AAX56570,118.18,24.54,142.72
AAX56590,121.18,24.41,145.59
AAX57644,123.26,24.27,147.52
AAX57734,118.45,24.41,142.86
AAX57754,122.89,24.36,147.25
AAX57784,120.51,24.41,144.92
AAX57794,123.35,24.36,147.71
AAX57804,122.68,24.36,147.03
AAX57824,122.68,24.36,147.03
AAX57864,122.68,24.36,147.03
AAX57894,122.68,24.36,147.03
AAX57904,122.88,24.41,147.29
AAX57914,120.11,24.36,144.46
AAX57924,121.67,25.87,147.54
AAX57944,118.07,24.41,142.48
AAX76623,123.4,23.97,147.37
AAX76643,121.35,24.27,145.61
AAX76653,118.35,24.27,142.62
AAX76683,122.46,24.36,146.81
AAX76693,120.14,24.22,144.37
AAX76703,119.14,24.22,143.36
AAX76723,119.5,24.36,143.86
AAX76733,123.05,23.72,146.77
AAX76743,124.44,23.72,148.16
AAX76763,123.4,23.97,147.37
AAY18096,121.35,24.27,145.61
AAY18126,122.57,24.25,146.82
AAY18146,123.62,24.35,147.97
AAY18166,122.66,24.41,147.07
AAY18196,124.07,24.27,148.33
AAY27863,121.5,24.27,145.77
AAY28014,119.99,24.41,144.4
AAY28265,121.35,24.27,145.61
AAY28285,120.47,24.39,144.86
AAY28295,121.2,24.27,145.47
AAY28305,117.83,24.41,142.24
AAY28325,117.73,24.41,142.14
AAY28335,120.47,24.41,144.88
AAY28363,122.91,24.36,147.27
AAY28395,123.77,26.16,149.93
AAY28405,120.21,24.41,144.62
AAY28551,120.16,24.36,144.52
AAY28591,121.92,24.36,146.28
AAY28618,124.04,24.42,148.46
AAY28628,115.38,24.54,139.92
AAY28648,117.83,24.41,142.24
AAY44610,123.32,24.27,147.59
AAY44620,120.27,24.41,144.68
AAY44641,120.27,24.41,144.68
AAY44651,121.67,24.36,146.03
AAY44661,121.2,24.41,145.61
AAY44755,119.91,24.41,144.32
AAY44775,121.84,24.36,146.19
AAY44796,123.26,24.27,147.53
AAY44906,123.59,24.27,147.86
AAY46371,121.79,25.87,147.66
AAY46416,123.99,24.41,148.4
AAY46426,123.39,24.41,147.79
AAY46436,120.96,25.87,146.83
AAY47013,117.75,24.41,142.16
AAY47023,120.8,24.41,145.22
AAY47075,124.57,23.72,148.29
AAY59035,122.68,24.36,147.03
AAY64192,123.3,24.36,147.66
AAY64202,121.35,24.27,145.61
AAY64212,122.77,24.36,147.13
AAY64232,122.63,24.41,147.03
AAY64252,120.45,24.22,144.68
AAY64262,122.63,24.41,147.03
AAY64272,124.06,24.27,148.33
AAY64292,122.55,23.72,146.27
AAY64322,122.63,24.41,147.03
AAY64332,122.93,24.27,147.2
AAY64342,122.63,24.41,147.03
AAY64362,123.09,23.97,147.07
AAY64372,122.57,24.36,146.93
AAY64392,124.23,24.25,148.48
AAY98077,120.34,24.41,144.75
AAY98117,120.5,24.41,144.91
AAY98127,122.03,24.41,146.44
AAY98167,122.5,24.41,146.91
AAY98187,123.59,24.27,147.86
AAY98195,122.63,24.41,147.03
AAY98247,122.63,24.41,147.03
AAY98329,122.35,24.41,146.76
AAY98366,121.55,25.87,147.42
AAY98376,122.47,24.36,146.83
AAY98770,120.1,24.27,144.36
AAZ38462,121,25.87,146.87
AAZ38473,122.07,25.87,147.94
AAZ38495,120.76,24.41,145.16
AAZ38517,122.09,24.57,146.66
AAZ38528,123.25,24.57,147.82
AAZ38539,118.4,24.41,142.81
AAZ38572,121.81,23.93,145.74
AAZ38583,123.25,24.57,147.82
AAZ38594,121.79,24.36,146.16
AAZ38616,121.81,23.93,145.74
AAZ43370,118.6,25.88,144.48
AAZ43383,112.95,23.21,136.16
AAZ43405,122.57,24.41,146.97
AAZ74386,120.06,24.41,144.46
AAZ74397,120.77,25.87,146.64
AAZ74408,122.63,24.41,147.03
AAZ74419,122.09,24.57,146.66
AAZ74474,120.03,24.57,144.6
AAZ74551,122.09,24.57,146.66
AAZ74573,122.83,24.57,147.4
AAZ74584,122.99,24.41,147.39
AAZ74617,120.81,24.36,145.16
AAZ79516,122.63,24.41,147.03
AAZ79582,120.12,24.41,144.52
AAZ79593,121.88,24.57,146.45
AAZ79615,122.09,24.57,146.66
AAZ79626,122.26,24.57,146.83
AAZ79627,121.94,24.36,146.3
AAZ80007,115.02,21.79,136.81
AAZ83242,123.29,27.54,150.83
AAZ83266,124.03,24.41,148.44
AAZ83312,122.47,24.36,146.83
AAZ83323,124.23,26.09,150.32
AAZ83371,123.25,24.57,147.82
AAZ83649,122.19,24.57,146.76
ABA12740,122.46,24.57,147.03
ABA12762,122.09,24.57,146.66
ABA12780,122.5,24.57,147.07
ABA16214,118.12,25.88,144.01
ABA18123,119.4,24.41,143.81
ABA42291,122.19,24.57,146.76
ABA42302,120.27,24.41,144.68
ABA42313,117.75,24.41,142.16
ABA42335,120.47,24.41,144.88
ABA42368,118.02,24.41,142.43
ABA42379,118.4,24.41,142.81
ABA42401,118.76,24.41,143.17
ABA42412,118.34,24.41,142.75
ABA42476,120.27,24.41,144.68
ABA42487,120.58,24.41,144.99
ABA42498,117.9,24.41,142.31
ABA42520,119.91,24.36,144.27
ABA42531,123.15,24.36,147.51
ABA42553,124.02,24.36,148.38
ABA42928,120.81,24.36,145.16
ABA42978,122.67,24.36,147.03
ABA42989,118.18,24.54,142.72
ABA43178,122.09,24.57,146.66
ABA43200,122.09,24.57,146.66
ABA43336,122,27.89,149.9
ABB02836,122.26,24.57,146.83
ABB02847,121.87,24.57,146.43
ABB02869,122.68,24.36,147.03
ABB02880,122.68,24.36,147.03
