GBACC,AGE,ISODATE
AAP60037,,1996
ABO52225,,1996
ABP49305,,2000
ABG88344,,1983
ABM22257,,1996
ABK40546,,1983
ABF47759,,1983
ABK40590,,1983
ABL67264,,1983
ABN50940,,1987
ABN50900,,1983
ABM22279,,1996
ABI92302,,1983
ABO32948,,2001
ABF47748,,1980
ABO32959,,2001
ABI96103,,2003
ABI96107,,2003
ABI96108,,2003
ABI96109,,2003
ABV29546,,2006
ACA33752,,2007
ACA33738,,2007
ABW23328,,2006
ABX58239,,2006
ABW71360,,2007
ABV29678,,2007
ABV30459,,2007
ABW36289,,2007
CAA91081,,1988
CAA91080,,1985
BAG28220,,2005
BAG28223,,2005
AFO64901,,1998
AFM68954,,1934
ABI21519,,1996
ABJ53504,,1996
ABI21530,,1996
ABI21541,,1996
AFO64802,,1999
ABI21552,,1996
ABI95250,,1996
ABW23337,,2007
AFO66213,,2002
ADT78876,,1954
ADT78908,,1953
ADT78929,,1949
ADT78936,,1951
ADM31392,,2007
ACD37430,,1999
ACF41878,,1999
ACA33751,,2007
ACU80014,,1976
ACA33727,,2007
ACA33792,,2007
ABQ44394,,1976
ACB11775,,2007
ACQ99821,1,1976
ABU50570,,2006
ACB11808,,2007
ABJ09327,9,2000
ABW23342,,2007
AAX56530,6,2000
ACA33785,,2007
AAZ38627,26,2001
ABB80045,6,2001
AAZ83253,33,2002
ABA08475,20,2003
ABA08486,28,2000
ABF47671,19,2001
ABA42236,19,2001
ABB79979,,2001
ABA43189,8,2001
ABW23320,,2006
ABA87080,1,2002
ABP49360,,1986
ABB79990,44,2001
ABA18037,1,2001
ABA08519,1,2001
ABA12715,1,2001
AAZ79604,1,2001
ABB02913,1,2001
ABB02924,1,2001
ABA42575,1,2001
ABB02936,1,2001
ABB03123,50,2003
ABB82205,43,2003
ABB82216,3,2002
ABB53740,1,2003
ABE11867,,1995
ABE11900,,1995
ABE11922,10,1995
ABE11942,5,1995
ABG47829,19,1996
ABE12032,,1995
ABF47627,,1995
ABG47840,20,1995
ABG88300,48,1995
ABF47660,8,1996
ABI20837,,1995
ABE26991,23,1995
ABI20848,1,1996
ABG26791,26,1995
ABG88322,59,1995
ABF47638,8,1995
ABI20870,1,1995
ABI92313,16,1995
ABW40114,,2007
ABV29634,,2007
ABO33025,,1983
ACI32721,,2005
ACI32723,,2005
ACI32735,,2006
AEK59838,,2007
ACI32724,,2005
ABW71294,,2006
ACF40124,,2007
ACK99008,,2007
ACK99009,,2007
ACK99014,,2007
ACK99027,,2006
ACN72616,,2007
ACQ73203,,2007
ACA33678,,2006
ACA33676,,2006
ABU80400,,1988
ABV30613,,2007
ACA24513,,2007
ABV30569,,2007
ABW86519,,2007
ABY51171,,2007
ABW40576,,2007
ACN33090,,2007
ACD56280,7,2007
ABW91515,,2007
ABX58360,,2007
ACA33796,,2007
ACA33799,,2007
AFO65016,,1998
ABW23290,,2006
ACA33774,,2007
ACH82081,,2007
ACF40119,,2007
ACF40120,,2007
ACF40121,,2007
ACD47241,,2007
ACD47243,,2007
ADL60242,,2007
ADL60253,,2007
ADL60286,,2007
ADL60297,,2007
ADL60308,,2007
ADL60319,,2007
ADL60330,,2007
ADL60341,,2007
ADL60352,,2007
ADL60374,,2007
ABO38384,,1935
AET84449,,2006
ACR15348,,1934
CAA24272,,1934
ABD77675,,1934
ABO21709,,1934
ACF41834,,1934
AFM71846,,1934
AAM75158,,1934
ACI32737,,2006
ABN59434,,1949
ACI32726,,2005
AFO64890,,1997
AFO64868,,1996
AFO64857,,1995
ACK99443,24,1989
ACK99465,9,1995
ACV49666,,1987
ACL12261,19,1989
AFO66169,,2001
ABO38395,,1986
ABU50586,,2006
ABU99109,,2006
ABK40028,,2000
ABM22026,,2000
ABJ16642,,2000
ABP49393,,2005
ABJ16653,,2005
ABJ16664,,2005
ABJ16719,,2000
ABD78071,19,2001
AAD17229,,1918
ABW23340,,2007
ACA33734,,2007
ACD47250,,2007
ACU79992,20,2007
ABU50587,,2006
ACM41800,,2007
BAA02768,,1989
BAA02769,,2000
AAK70449,,1995
AAK70450,,1995
ABD59848,,1997
ADN92772,,2006
ABF21274,,1986
ABD59847,,1996
ADN92774,,2006
ADN92780,,2007
ADN92771,,2005
ACR15326,,2002
ADY04727,,2002
ADN92773,,2006
ACO94804,,2006
ADN92775,,2006
ABB51962,,2002
ADN92777,,2007
ABD59849,,1999
ACR15304,,1999
ACR15315,,2002
ADN92776,,2006
ADN92769,,2005
ADN92770,,2005
ADN92768,,2006
ACR15194,,2007
ADG76644,,2006
AEX33442,,2003
AEX33946,,2006
AEX34757,,2006
AEX34768,,2006
ADG23237,,2007
ADG23238,,2006
ADG23236,,2005
ADG23216,,2007
ABW40070,,2007
ABX58558,,2007
ABX58514,,2007
ABW86398,,2007
ACC61975,,2007
ABW71448,,2007
ABX58415,,2007
ABW91328,,2007
ABX58569,,2007
ABX58536,,2007
ABW23315,,2007
ABW23325,,2007
ABO44123,,1986
ACA33677,,2007
AAP34322,,1991
ABD60955,,1991
ACF41933,,1991
ABF21276,,1991
ACA33730,,2007
ACA33732,,2007
ACA33789,,2007
ACA33779,,2007
ABV29535,,2006
ABY51061,,2007
ABW91570,9,2007
ABW91361,,2007
ABY51050,,2007
ABY51072,,2007
ABV82551,,2007
ABW39883,,2007
ACN32793,,2007
ABV29612,,2007
ABV30041,,2007
ABW36212,,2007
ABW40092,,2007
ABK57093,,2005
BAI44855,,2007
ABS71673,,2006
ABS71664,,2006
ABS71670,,2006
ABS71668,,2006
ABS71669,,2006
ABS71666,,2006
ABS71672,,2006
ABS71667,,2006
ABS76427,,2000
AEP32457,,2004
ACI32727,,2005
ABO44134,,1977
ABO38406,,1984
AEM23889,,1947
ABQ01322,,1979
ABD95350,,1977
ABD60933,,1977
ACV49534,,1933
ABW40048,,2007
ABV29656,,2007
ABV30140,,2007
ABV30283,,2007
ABV30360,,2007
ACD37507,,2007
AFQ90532,,1988
ACH86201,,2007
ABW91493,,2007
ABW40257,,2007
ABY51138,,2007
ABX58547,,2007
ABF47955,,1933
AAA43209,,1933
CCH23214,,1933
ACF54598,,1933
ABF82863,,2001
ABJ09184,,2005
ABF82874,,2001
ABO32678,,2005
ABF82929,,2001
ABF82918,,2001
ABG26945,,2001
ABJ09151,,2001
ACA33733,,2007
ACA33725,,2007
ACA33807,,2007
ACA33787,,2007
ACA33772,,2007
ACA33805,,2007
ABD79101,,1943
ABF82819,,2001
ABG80172,,2000
ABI21233,,2005
ABI95217,,2000
ABG80183,,2000
ABG88542,,2000
ABF47869,,2000
AFQ90533,,1992
AFO64835,,1992
ABF47891,,2000
ABO44046,,2000
ABE11690,1,2001
ABO38032,33,2001
ABD77796,,1933
ABF21278,,1933
ABU50573,,2006
ABV45838,,1976
ACB11783,,2007
ABU50574,,2006
AAB03291,,1994
ABW23296,,2006
ADG23245,,2006
AEM60005,,1935
