GBACC,AGE,ISODATE
AEX33541,,2004/01/30
AEX33552,,2004/01/31
AEX33563,,2004/02/01
ACF36219,,2004/02/02
AEX35351,,2004/02/02
AEX33574,,2004/02/04
AEX35362,,2004/02/04
AEX35373,,2004/02/04
AEX35384,,2004/02/05
AFJ77847,,2004/02/07
ACP44236,,2004/02/10
ACF36271,,2004/02/12
ACO36441,,2004/02/13
AEX33530,,2004/02/13
ACF36274,,2004/02/14
ACO94881,,2004/02/19
ACO94892,,2004/03/01
ACF36293,,2004/03/03
ACF36294,,2004/03/04
ACO95426,,2004/03/04
ACO94903,,2004/03/06
ACO94914,,2004/03/10
AEX35395,,2004/03/10
ACO36452,,2004/03/13
ACO94925,,2004/03/19
ACO94936,,2004/03/22
ACO36463,,2004/03/25
ACF36306,,2004/03/27
ACO36474,,2004/03/29
ACF36307,,2004/04/02
ACF36308,,2004/04/06
ACF36309,,2004/04/07
ACO94947,,2004/04/16
ACO94958,,2004/04/23
ACO36485,,2004/04/29
ACF36347,,2004/05/04
ACF36349,,2004/05/08
ACF36351,,2004/05/08
AFJ77858,,2004/05/24
ACR15524,,2004/05/28
ACF36357,,2004/06/01
ACF36358,,2004/06/01
ACO36496,,2004/06/01
ACF36359,,2004/06/03
ACF36360,,2004/06/10
ACO36507,,2004/06/15
ACO95153,,2004/06/19
AFJ77869,,2004/06/23
ACO36518,,2004/06/29
ACF36386,,2004/07/02
ACO95171,,2004/07/02
ACO95437,,2004/07/05
ACF36388,,2004/07/06
ACF36389,,2004/07/06
ACO95182,,2004/07/07
ACU12516,,2004/07/17
AFJ77880,,2004/07/20
ACO36529,,2004/07/21
ACO95193,,2004/07/22
AFJ77891,,2004/07/26
AFJ77902,,2004/07/27
ACO36540,,2004/07/30
ACP44247,,2004/08/02
AFJ77913,,2004/08/04
AFJ77924,,2004/08/04
ACF36402,,2004/08/06
ACF36403,,2004/08/08
ACO95204,,2004/08/09
ACF36407,,2004/08/13
ACF36408,,2004/08/17
ACF36410,,2004/08/18
ACO36551,,2004/08/18
ACR15535,,2004/08/24
ACF36418,,2004/09/02
ACO36562,,2004/09/02
ACF36419,,2004/09/03
ACF36420,,2004/09/03
AFJ77935,,2004/09/14
AEG65637,,2004/09/15
ACO36573,,2004/09/17
ACR15546,,2004/09/23
AEG65626,,2004/09/25
AEG65615,,2004/09/26
AFJ77946,,2004/10/06
AFJ77957,,2004/10/12
ACO37122,,2004/10/18
AFJ74842,,2004/10/20
ACO95215,,2004/11/23
ACO36584,,2005/01/06
ACF36412,,2005/01/08
ACF36423,,2005/01/14
ACF36436,,2005/01/31
ACF36444,,2005/02/12
AFJ77968,,2005/02/13
ACF36447,,2005/02/16
ACF36450,,2005/02/20
ACF36453,,2005/02/27
ACO95448,,2005/02/28
ACF36456,,2005/03/01
ACO95226,,2005/03/07
ACF36458,,2005/03/11
ACO95237,,2005/03/19
AEX33640,,2005/03/24
ACO95459,,2005/04/01
ACF36179,,2005/04/02
ACU12527,,2005/04/04
ACF36187,,2005/04/06
ACF36190,,2005/04/10
ACP44258,,2005/04/11
ACO36595,,2005/04/13
ACR15557,,2005/04/16
ACR15568,,2005/04/21
ACO95248,,2005/04/26
ACF36202,,2005/04/28
ACO95470,,2005/04/30
